Date,PM10,PM25,NO2
01-01-19,31.18,25.25,28.5
02-01-19,26.15,24,35.31
03-01-19,43.68,39.12,66.2
04-01-19,18.64,16.7,38.01
05-01-19,27.86,25.12,39.14
06-01-19,26.9,24.34,52.81
07-01-19,26.28,24.49,53.78
08-01-19,41.17,38.77,44.73
09-01-19,33.59,29.12,53.62
10-01-19,27.15,24.59,53.61
11-01-19,36.34,34.48,51.25
12-01-19,40.69,39.02,52.35
13-01-19,81.55,78.41,39.5
14-01-19,40.68,38.81,55.17
15-01-19,18.51,17.31,63.41
16-01-19,18.75,17.41,56.74
17-01-19,26.78,25.24,67.82
18-01-19,53.9,50.91,82.52
19-01-19,25.35,23.66,48.13
20-01-19,20.48,16.36,48.91
21-01-19,20.54,18.73,53.69
22-01-19,21.96,19.52,54.87
23-01-19,23.66,20.49,57.2
24-01-19,19.63,18.23,30.32
25-01-19,20.35,18.18,42.45
26-01-19,19.58,17.79,42.29
27-01-19,54.53,49.35,59.16
28-01-19,50.43,44.55,82.93
29-01-19,62.04,57.79,99.98
30-01-19,58.43,52.37,76.87
31-01-19,35.88,32.81,49.99
01-02-19,25.69,22.51,58.47
02-02-19,72.68,63.9,78.8
03-02-19,59.66,52.05,70.44
04-02-19,47.47,39.6,61.89
05-02-19,21.26,16.93,35.64
06-02-19,29.78,25.14,44.3
07-02-19,17.75,14.45,55.96
08-02-19,47.34,41.36,73
09-02-19,31.34,27.56,44.75
10-02-19,43.71,38.14,54.7
11-02-19,100.89,86.23,86.87
12-02-19,25.02,22.14,50.12
13-02-19,19.7,8.97,48.58
14-02-19,20.31,16.8,60.37
15-02-19,16.53,13.98,51.11
16-02-19,28.71,26.41,42.3
17-02-19,45.51,41.48,47.45
18-02-19,70.87,56.03,92.83
19-02-19,94.47,76.5,97.79
20-02-19,87.94,73.71,73.74
21-02-19,35.81,28.44,53.36
22-02-19,35.99,25.75,56.89
23-02-19,14.28,9.95,40.66
24-02-19,21.85,19.54,39.68
25-02-19,33.81,25.47,39.25
26-02-19,38.18,27.53,56.19
27-02-19,36.85,27.21,65.15
28-02-19,27.99,17.12,41.42
01-03-19,43.64,29.7,69.99
02-03-19,34.26,27.49,59.74
03-03-19,32.16,28.18,44.75
04-03-19,37.4,29.57,47.38
05-03-19,33.78,19.67,33.3
06-03-19,17.32,11.57,48.62
07-03-19,43.82,30.01,78.53
08-03-19,68.17,51.02,87.28
09-03-19,38.98,26.12,41.58
10-03-19,19.98,10.52,25.09
11-03-19,21.23,13.92,33.36
12-03-19,19.85,7.63,52.43
13-03-19,29.44,22.29,60.71
14-03-19,24.45,15.77,65.47
15-03-19,26.61,22.99,38.38
16-03-19,19.67,15.67,36.06
17-03-19,18.45,14.4,53.15
18-03-19,43.95,30.44,89.31
19-03-19,27.27,16.54,47.63
20-03-19,27.21,20.03,44.77
21-03-19,22.91,17.19,42.75
22-03-19,35.12,28.38,28.5
23-03-19,32.48,24.29,35.31
24-03-19,20.91,13.72,66.2
25-03-19,32.32,21.3,38.01
26-03-19,25.86,21.13,39.14
27-03-19,18.34,14.78,42.81
28-03-19,21.63,15.05,53.78
29-03-19,23.5,18.01,44.73
30-03-19,36.86,29.83,63.62
31-03-19,44.45,37.08,53.61
01-04-19,44.55,33.83,51.25
02-04-19,22.34,13.93,52.35
03-04-19,30.68,16.17,81.84
04-04-19,20.73,11.53,55.17
05-04-19,22.33,13.36,63.41
06-04-19,18.29,12.39,56.74
07-04-19,25,18.83,67.82
08-04-19,27.14,21.02,82.52
09-04-19,22.39,16.85,48.13
10-04-19,29.96,23.06,48.91
11-04-19,40.83,34.08,53.69
12-04-19,32.32,21.3,54.87
13-04-19,25.86,21.13,57.2
14-04-19,18.34,14.78,30.32
15-04-19,33.29,18.85,42.45
16-04-19,19.5,15.45,42.29
17-04-19,23.5,13.54,59.16
18-04-19,28.5,21.5,82.93
19-04-19,13.57,12.3,99.98
20-04-19,20.09,16.98,76.87
21-04-19,26.96,23.13,49.99
22-04-19,22.96,16.91,58.47
23-04-19,17.87,9.93,78.8
24-04-19,12.89,8.71,70.44
25-04-19,19.73,12.92,61.89
26-04-19,24.19,15.12,35.64
27-04-19,23.44,15.97,44.3
28-04-19,14.36,10.65,55.96
29-04-19,13.52,10.45,73
30-04-19,17.81,11.33,44.75
01-05-19,8.43,6.09,54.7
02-05-19,13.6,10.71,86.87
03-05-19,21.92,17.43,50.12
04-05-19,19.09,14.98,48.58
05-05-19,14.63,10.37,60.37
06-05-19,12.25,8.36,51.11
07-05-19,5.75,5.21,42.3
08-05-19,9.08,7.64,47.45
09-05-19,18.86,13.21,92.83
10-05-19,12,10.97,97.79
11-05-19,16.7,14.17,73.74
12-05-19,12.72,10.21,53.36
13-05-19,15.79,12.37,56.89
14-05-19,16.49,13.66,40.66
15-05-19,16.27,12.22,39.68
16-05-19,12.34,9.04,39.25
17-05-19,15.04,12.75,56.19
18-05-19,16.22,13.12,65.15
19-05-19,22.6,18.62,41.42
20-05-19,22.7,14.91,69.99
21-05-19,8.27,5.12,59.74
22-05-19,12.45,9.25,44.75
23-05-19,14.58,10.21,47.38
24-05-19,15.07,11.94,33.3
25-05-19,14.9,12.69,48.62
26-05-19,20.28,17.81,78.53
27-05-19,30.74,25.08,87.28
28-05-19,20.53,14.75,41.58
29-05-19,26.78,21.31,25.09
30-05-19,19.33,17.65,33.36
31-05-19,15.83,6.92,52.43
01-06-19,10.35,6.94,60.71
02-06-19,23.99,23.13,65.47
03-06-19,22.95,21.77,38.38
04-06-19,16.31,13.05,36.06
05-06-19,12.83,8.74,53.15
06-06-19,24.71,20.33,89.31
07-06-19,32.84,31.27,47.63
08-06-19,19.5,15.5,44.77
09-06-19,22.28,17.81,42.75
10-06-19,30.74,25.08,35.31
11-06-19,20.53,14.75,66.2
12-06-19,26.78,21.31,38.01
13-06-19,19.33,17.65,39.14
14-06-19,15.83,16.92,42.81
15-06-19,10.35,16.94,53.78
16-06-19,23.99,23.13,44.73
17-06-19,22.95,21.77,63.62
18-06-19,16.31,13.05,53.61
19-06-19,12.83,8.74,51.25
20-06-19,24.71,20.33,52.35
21-06-19,32.84,31.27,81.84
22-06-19,15.04,12.75,55.17
23-06-19,16.22,13.12,63.41
24-06-19,22.6,18.62,56.74
25-06-19,22.7,14.91,67.82
26-06-19,8.27,5.12,82.52
27-06-19,12.45,9.25,48.13
28-06-19,14.58,10.21,48.91
29-06-19,15.07,11.94,53.69
30-06-19,14.9,12.69,54.87
01-07-19,17.14,11.69,57.2
02-07-19,26.35,17.74,30.32
03-07-19,23.61,14.44,42.45
04-07-19,18.4,11.76,59.51
05-07-19,19.55,15.04,61.56
06-07-19,19.28,13.03,49.02
07-07-19,26.3,17.83,42.63
08-07-19,18.6,13.95,47.76
09-07-19,17.52,13.34,71.02
10-07-19,17.88,13.8,55
11-07-19,12.43,9.5,38.7
12-07-19,10.02,7.59,51.36
13-07-19,21.49,16.17,48.77
14-07-19,16.19,14.54,26.55
15-07-19,17.88,14.68,28.5
16-07-19,13.87,10.56,45.31
17-07-19,14.64,11.65,66.2
18-07-19,21.04,14.96,48.01
19-07-19,23.57,16.65,39.14
20-07-19,18.87,13.83,42.81
21-07-19,22.31,17.92,53.78
22-07-19,20.09,15.38,44.73
23-07-19,14.09,11.11,63.62
24-07-19,13.09,9.96,53.61
25-07-19,21.76,15.15,51.25
26-07-19,27.03,19.3,52.35
27-07-19,25.09,18.66,81.84
28-07-19,14.15,9.49,55.17
29-07-19,16.92,12.71,63.41
30-07-19,17.95,14.2,56.74
31-07-19,22.93,16.78,67.82
01-08-19,16.63,13,82.52
02-08-19,16.99,12.96,48.13
03-08-19,14.8,11.6,48.91
04-08-19,8.43,6.72,53.69
05-08-19,10.97,7.9,54.87
06-08-19,16.02,12.03,57.2
07-08-19,23.24,17.73,30.32
08-08-19,21.59,14.2,42.45
09-08-19,27.37,19.89,42.29
10-08-19,18.63,13.97,59.16
11-08-19,16.63,12.48,52.93
12-08-19,19.66,13.76,49.98
13-08-19,20.62,13.25,50.5
14-08-19,20.76,14.87,49.99
15-08-19,20.06,11.54,58.47
16-08-19,8.98,5.04,30.3
17-08-19,10.74,8.08,70.44
18-08-19,15.2,12.25,61.89
19-08-19,20.13,13.44,35.64
20-08-19,17.57,10.72,44.3
21-08-19,23.25,14.7,55.96
22-08-19,23.26,14.2,53
23-08-19,21.39,14.05,44.75
24-08-19,17.86,10.81,54.7
25-08-19,24.54,15.03,56.87
26-08-19,21.06,11.97,50.12
27-08-19,23.17,13.27,48.58
28-08-19,26.93,14.47,60.37
29-08-19,26,13.43,51.11
30-08-19,27.29,14.63,42.3
31-08-19,22.6,10.96,47.45
01-09-19,22.88,12.9,52.83
02-09-19,22.75,12.07,47.79
03-09-19,23.71,13.47,63.74
04-09-19,21.4,10.7,53.36
05-09-19,12.9,9.04,56.89
06-09-19,18.41,12.73,40.66
07-09-19,21.56,14.15,39.68
08-09-19,21.52,13.63,39.25
09-09-19,18.35,9.9,56.19
10-09-19,17.52,8.61,65.15
11-09-19,22.22,10.36,41.42
12-09-19,22.96,10.47,69.99
13-09-19,25.49,13.28,59.74
14-09-19,24.69,13.62,44.75
15-09-19,16.76,9.49,47.38
16-09-19,26.45,15.73,33.3
